iter	Passed	Remaining
403	9250	2198
404	9274	2175
405	9297	2152
406	9318	2129
407	9341	2106
408	9364	2083
409	9387	2060
410	9409	2037
411	9431	2014
412	9453	1991
413	9475	1968
414	9496	1945
415	9520	1922
416	9543	1899
417	9567	1876
418	9590	1854
419	9612	1830
420	9634	1807
421	9657	1784
422	9679	1762
423	9702	1739
424	9725	1716
425	9747	1693
426	9769	1670
427	9791	1647
428	9813	1624
429	9835	1601
430	9859	1578
431	9881	1555
432	9904	1532
433	9927	1509
434	9949	1486
435	9971	1463
436	9994	1440
437	10018	1418
438	10040	1395
439	10061	1372
440	10083	1349
441	10106	1326
442	10127	1303
443	10150	1280
444	10173	1257
445	10195	1234
446	10217	1211
447	10239	1188
448	10261	1165
449	10285	1142
450	10307	1119
451	10330	1097
452	10355	1074
453	10378	1051
454	10400	1028
455	10423	1005
456	10445	982
457	10464	959
458	10486	936
459	10509	913
460	10534	891
461	10559	868
462	10584	845
463	10607	823
464	10630	800
465	10650	777
466	10673	754
467	10695	731
468	10717	708
469	10738	685
470	10760	662
471	10782	639
472	10804	616
473	10825	593
474	10849	571
475	10871	548
476	10894	525
477	10917	502
478	10939	479
479	10962	456
480	10984	433
481	11006	411
482	11028	388
483	11051	365
484	11075	342
485	11097	319
486	11120	296
487	11141	273
488	11163	251
489	11185	228
490	11208	205
491	11230	182
492	11252	159
493	11276	136
494	11298	114
495	11323	91
496	11348	68
497	11372	45
498	11393	22
499	11413	0
