iter	RMSE
349	51.85592549
350	51.82695917
351	51.82658871
352	51.80393378
353	51.80351761
354	51.75810781
355	51.72631811
356	51.70371786
357	51.65346298
358	51.58077324
359	51.55670675
360	51.52646736
361	51.49610042
362	51.49477007
363	51.46097906
364	51.41475219
365	51.36308224
366	51.3311128
367	51.30159732
368	51.25140069
369	51.23969807
370	51.18979696
371	51.16675559
372	51.16597921
373	51.130404
374	51.09114196
375	51.06569073
376	51.02348241
377	51.00558583
378	50.97283165
379	50.90962509
380	50.8612401
381	50.85906061
382	50.78783227
383	50.71143751
384	50.66803163
385	50.66759857
386	50.63866881
387	50.62344993
388	50.60026745
389	50.57315998
390	50.53952426
391	50.5010867
392	50.48193452
393	50.46392648
394	50.4336253
395	50.41396963
396	50.36821261
397	50.32978208
398	50.31165206
399	50.25209534
400	50.22670816
401	50.20655042
402	50.17170227
403	50.02508933
404	49.95423578
405	49.94296377
406	49.9046031
407	49.86670143
408	49.86183205
409	49.80299936
410	49.78788195
411	49.74121965
412	49.68172929
413	49.66398472
414	49.64162377
415	49.60834075
416	49.56275955
417	49.54994636
418	49.5184643
419	49.46477773
420	49.41814854
421	49.39744764
422	49.3856928
423	49.36013668
424	49.33008433
425	49.31086829
426	49.25671379
427	49.23282712
428	49.19978725
429	49.16534662
430	49.10686757
431	49.07153908
432	49.02506584
433	49.00369316
434	48.96423634
435	48.92716219
436	48.88932894
437	48.76941654
438	48.72266078
439	48.71882765
440	48.70377442
441	48.70128601
442	48.66294863
443	48.64205509
444	48.59811055
445	48.56186659
446	48.52123503
447	48.50677436
448	48.49436029
449	48.38944301
450	48.38413365
451	48.35608937
452	48.32494304
453	48.29656175
454	48.25499976
455	48.23368504
456	48.22082555
457	48.21555959
458	48.19660481
459	48.17564816
460	48.14408538
461	48.11257052
462	48.07332993
463	48.04926838
464	48.02174696
465	48.00503978
466	47.9630136
467	47.93386993
468	47.92773604
469	47.92483796
470	47.90344561
471	47.87509652
472	47.81573256
473	47.80876092
474	47.7742943
475	47.75866103
476	47.75085531
477	47.6993263
478	47.684318
479	47.64817396
480	47.61401048
481	47.59159417
482	47.56419268
483	47.54186452
484	47.52235996
485	47.51187645
486	47.49706338
487	47.48607152
488	47.44188438
489	47.42540541
490	47.39969778
491	47.39024643
492	47.35899166
493	47.34146839
494	47.30520067
495	47.28951053
496	47.27919402
497	47.26076935
498	47.23268812
499	47.23173372
